EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
0.34,0.31,1,0.171933583,-0.043283582
-0.27,-0.37,2,0.057831325,0.255531763
0.66,0.46,4,0.022756821,-0.028227824
1.02,0.87,7,0.091891888,-0.027148303
-2.98,-0.48,1,0.049819731,0.21115687
1.36,1.25,1,0.024534306,-0.114301183
2.12,1.39,7,0.080254438,-0.047648438
-0.13,0.15,2,0.30112307,-0.079332419
0.06,0.12,3,0.025528502,-0.050771
-0.14,-0.04,1,0.030006124,0.01010101
0.52,0.51,1,0.06731538,0.011331995
0.03,0.06,4,0.07150667,0.148612946
1.12,0.75,1,0.033562162,0.210861094
-0.02,-0.02,2,0.03417603,-0.095965104
0.22,0.16,2,-0.068181818,0.023966447
-0.81,-0.33,3,0.097714736,0.375213675
-0.63,-0.9,4,0.068994889,0.078371278
-0.54,-0.51,2,0.067757009,-0.157991427
-0.2,-0.24,6,-0.039735099,-0.089552239
-0.32,-0.21,3,-0.080924855,-0.029325513
-1.91,-0.89,2,-0.003999988,-0.001023487
-0.36,0.09,1,0.144186047,0.085635359
-0.02,-0.03,1,-0.097345133,-0.090163934
-0.36,-0.38,4,0.005830904,-0.001331558
-0.02,-0.05,2,0.033160221,0
-0.41,-0.64,1,0.390625,0.058823529
-0.12,-0.11,2,-0.086666667,0.161971831
-0.17,-0.09,2,-0.138297872,-0.136363636
-0.01,-0.02,2,-0.073446328,-0.045714286
-0.11,-0.1,1,-0.105769231,-0.047619048
-0.62,-0.57,2,0.009756098,0.004739336
-0.12,-0.08,1,-0.113043478,-0.340782123
-0.34,-0.41,7,0.126707759,0.008847032
-0.27,-0.42,6,0.038228505,0.168121442
1.55,1.23,6,0.015445732,-0.007459588
3,2.66,5,-0.01526171,0.05688276
0.3,0.24,7,-0.022493384,0.00141844
-0.91,0.85,1,0.142422301,-0.084265474
0.09,-0.17,8,0.420124273,-0.047670059
-0.4,-0.58,2,0.170388183,0.423640662
0.15,0.14,1,-0.028095734,0.106490872
0,0.02,1,-0.135273973,0.206030151
-0.22,-0.21,2,0.125269978,-0.120287253
-0.23,-0.17,1,-0.096296296,-0.010989011
1.8,1.78,9,0.016919614,0.006188488
0.28,0.25,8,0.013763273,0.020650095
1.51,1.33,5,-0.032043128,0.030384055
0.72,0.72,10,-0.005149618,-0.011619951
0.35,0.3,12,0.016862384,0.029809464
0.46,0.42,11,0.02837685,-0.037386748
0.61,0.58,8,-0.023428765,-0.005723939
0.26,0.23,11,0.008339653,-0.009495961
0.25,0.24,25,0.037500064,-0.025867954
0.63,0.59,9,0.0099512,-0.049096314
35.19,28.63,3,0.004064263,-0.020217873
1.44,1.48,8,0.01432558,0.014798599
0.31,0.32,8,0.018299861,-0.011128772
1.18,1.18,3,0.002383791,-0.029394813
0.64,0.6,10,-0.003063002,-0.013685964
0.63,0.65,3,-0.018046691,-0.04166667
